Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;+;Dephosphorylation;7694293
PKC;P17252;P05697;Kinase;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;0;Binding;8599116
PKC;P17252;P05697;Kinase;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;0;Binding;12359152
PKA;P17612;P05132;Kinase;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;0;Binding;8599116
PKA;P17612;P05132;Kinase;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;0;Binding;1512224
PKA;P17612;P05132;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Phosphorylation;10862777
PKA;P17612;P05132;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Phosphorylation;7935389
PKC;P17252;P05697;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Phosphorylation;7935389
LCK;P06239;P08103;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Phosphorylation;7935389
PKA;P17612;P05132;Kinase;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;Phosphorylation;9867809
RAP1;P10113;P10113;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Binding;9867809
RAS;P01111;P08556;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;9867809
PKA;P17612;P05132;Kinase;Cytosol;CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;_;Phosphorylation;10187789
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKI;Q14012;Q91YS8;Kinase;Cytosol;+;Phosphorylation;10187789
CALMODULIN;P62158;P62204;Activator;Cytosol;CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;+;Binding;10187789
SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;+;Binding;9275233
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;1646483
CAMKI;Q14012;Q91YS8;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;1646483
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;_;Phosphorylation;15228588
SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;0;Binding;15228588
PKA;P17612;P05132;Kinase;Cytosol;SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;+;Phosphorylation;12417592
SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;0;Binding;12417592
SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;0;Binding;9452470
SPINOPHILIN;O35274;Q99NH2;Cytoskeleton;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;+;Binding;12417592
MP1;Q9UHA4;O88653;Adapter;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Binding;9733512
MP1;Q9UHA4;O88653;Adapter;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;+;Binding;9733512
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;_;Binding;9235893
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;_;Binding;10490659
NIK;Q99558;Q9WUL6;Kinase;Cytosol;MEKK1;Q13233;P53349;Kinase;Cytosol;+;Binding;9135144
NIK;Q99558;Q9WUL6;Kinase;Cytosol;NCK;P16333;Q60631;Adapter;Cytosol;+;Binding;9135144
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;MLK3;Q02779;Q60700;Kinase;Cytosol;+;Binding;9733513
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;MEK7;O14733;P47809;Kinase;Cytosol;+;Binding;9733513
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;DLK;P80370;Q9JI71;Kinase;Cytosol;+;Binding;9733513
MEKK3;Q99759;Q61084;Kinase;Cytosol;MEK3;Q8IVH8;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;9162092
MEKK2;Q9Y2U5;Q61083;Kinase;Cytosol;MEK4;P45985;P47809;Kinase;Cytosol;+;Phosphorylation;9162092
MEKK4;Q9Y6R4;NA;Kinase;Cytosol;MEK3;Q8IVH8;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;9305639
MEKK4;Q9Y6R4;NA;Kinase;Cytosol;MEK6;Q8N4C8;Q8N4C8;Kinase;Cytosol;+;Phosphorylation;9305639
PKC;P17252;P05697;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;+;Phosphorylation;15003508
PKC;P17252;P05697;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;+;Phosphorylation;12495628
CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;MYOSINPPASE;O60237;Q8BG95;Phosphatase;Cytosol;_;Binding;12495628
PKN;Q16512;P70268;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;+;Phosphorylation;10924361
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;0;Binding;15003508
ILK;Q13418;O55222;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;+;Phosphorylation;12144526
ROCK;O75116;P70336;Kinase;Cytosol;CPI17;Q96A00;Q91VC7;Inhibitor;Cytosol;+;Phosphorylation;10869555
VDAC2;P45880;Q60930;Channel;Mitochondria;BAK;Q16611;NA;Bcl2Family;Mitochondria;_;Binding;12881569
BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;BAX;Q07812;Q07813;Bcl2Family;Mitochondria;_;Binding;8596636
JNK;P45983;Q91Y86;Kinase;Nucleus;BIM;O43521;O54918;Bcl2Family;Mitochondria;+;Phosphorylation;12818176
BCL2;P10415;Q64373;Bcl2Family;Mitochondria;BAX;Q07812;Q07813;Bcl2Family;Mitochondria;_;Binding;8358790
BIM;O43521;O54918;Bcl2Family;Mitochondria;BAX;Q07812;Q07813;Bcl2Family;Mitochondria;+;Binding;11301022
BIM;O43521;O54918;Bcl2Family;Mitochondria;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;_;Binding;11301022
JNK;P45983;Q91Y86;Kinase;Nucleus;ELK1;P19419;P41969;TF;Nucleus;+;Phosphorylation;8846788
JNK;P45983;Q91Y86;Kinase;Nucleus;ELK1;P19419;P41969;TF;Nucleus;+;Phosphorylation;9501095
P38;Q16539;P47811;Kinase;Cytosol;ATF2;P15336;Q60765;TF;Nucleus;+;Phosphorylation;8663524
MEK3;Q8IVH8;Q8BPM2;Kinase;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;+;Phosphorylation;8622669
MEK6;Q8N4C8;Q8N4C8;Kinase;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;+;Phosphorylation;8622669
P38;Q16539;P47811;Kinase;Cytosol;ELK1;P19419;P41969;TF;Nucleus;+;Phosphorylation;8622669
P38;Q16539;P47811;Kinase;Cytosol;MEF2;Q02080;O55087;TF;Nucleus;+;Phosphorylation;10531066
ARH2;Q92974;P97433;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;9857026
ARH2;Q92974;P97433;Adapter;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;9857026
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;ARH2;Q92974;P97433;Adapter;Cytosol;0;Binding;9857026
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;RHOGEF;Q92888;Q8R4H2;GEF;Cytosol;0;Binding;10574993
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;MEK4;P45985;P47809;Kinase;Cytosol;+;Binding;9733513
MEK7;O14733;P47809;Kinase;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;+;Phosphorylation;9733513
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;FRIZZLED;Q9UP38;O70421;Receptor;Membrane;+;Binding;11742073
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;DISHEVELED;O14640;P51141;Adapter;Membrane;+;Phosphorylation;9214626
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;DISHEVELED;O14640;P51141;Adapter;Membrane;+;Phosphorylation;10409711
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;DISHEVELED;O14640;P51141;Adapter;Membrane;+;Phosphorylation;10806215
DISHEVELED;O14640;P51141;Adapter;Membrane;PAR1;P25116;P30558;Adapter;Cytosol;+;Binding;11433294
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;10753943
SRC;P12931;P05480;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Phosphorylation;7537265
SRC;P12931;P05480;Kinase;Cytosol;SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;+;Phosphorylation;7512695
PDZGEF;Q9Y4G8;Q8CHG7;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;+;GEF;10608883
PDZGEF;Q9Y4G8;Q8CHG7;GEF;Cytosol;RAP2;P10114;Q8BU31;GTPase;Cytosol;+;GEF;10608883
CALMODULIN;P62158;P62204;Activator;Cytosol;RAB3;P20336;P05713;GTPase;Vesicles;_;Binding;9252412
PKC;P17252;P05697;Kinase;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;_;Phosphorylation;8063723
PKC;P17252;P05697;Kinase;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;_;Phosphorylation;6957862
PKC;P17252;P05697;Kinase;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;_;Phosphorylation;15316066
PKC;P17252;P05697;Kinase;Cytosol;GAP43;P17677;P06837;Adapter;Cytosol;+;Phosphorylation;7891109
PKC;P17252;P05697;Kinase;Cytosol;GAP43;P17677;P06837;Adapter;Cytosol;+;Phosphorylation;2562806
RABGDI;P31150;P50396;Inhibitor;Cytosol;RAB3;P20336;P05713;GTPase;Vesicles;_;Binding;9252412
PKC;P17252;P05697;Kinase;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Phosphorylation;8383119
PKC;P17252;P05697;Kinase;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Phosphorylation;9268695
PKC;P17252;P05697;Kinase;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Phosphorylation;9366262
PKC;P17252;P05697;Kinase;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Phosphorylation;7938004
PKC;P17252;P05697;Kinase;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Phosphorylation;8900209
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;210183
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;6935665
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;2022671
PKC;P17252;P05697;Kinase;Cytosol;AC5;O95622;Q01341;Cyclase;Membrane;+;Phosphorylation;8206971
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC5;O95622;Q01341;Cyclase;Membrane;+;Binding;9748257
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Binding;1719547
GALPHAS;P04895;P04894;Gprotein;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;+;Binding;9395396
BETA2AR;P07550;P18762;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;6149763
BETA2AR;P07550;P18762;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;6149763
RHEB;Q15382;Q921J2;Adapter;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;9001246
PKA;P17612;P05132;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;_;Phosphorylation;9001246
RAS;P01111;P08556;GTPase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;9001246
EGFR;P00533;Q01279;Receptor;Membrane;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;1322798
PYK2;Q14289;Q60629;Kinase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;10329689
PYK2;Q14289;Q60629;Kinase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;9560226
PYK2;Q14289;Q60629;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;9560226
PYK2;Q14289;Q60629;Kinase;Cytosol;KV12;P16389;P15386;Channel;Membrane;_;Phosphorylation;7544443
PYK2;Q14289;Q60629;Kinase;Cytosol;KV12;P16389;P15386;Channel;Membrane;_;Phosphorylation;9560226
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;KV11;Q09470;P16388;Channel;Membrane;+;Binding;12114518
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;KV11;Q09470;P16388;Channel;Membrane;+;Binding;12114518
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;10692440
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;7993624
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;+;Binding;10692440
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;MUNC18;P61763;P61765;Vesicle;Vesicles;0;Binding;15175344
SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;LTYPECA;Q13936;Q13936;Channel;Membrane;+;Binding;12645522
SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;RTYPECA;Q15878;Q61290;Channel;Membrane;+;Binding;12645522
CALMODULIN;P62158;P62204;Activator;Cytosol;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;15294163
CALMODULIN;P62158;P62204;Activator;Cytosol;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;12917685
MUNC18;P61763;P61765;Vesicle;Vesicles;MINT;Q02410;P98084;Vesicle;Vesicles;0;Binding;9395480
MINT;Q02410;P98084;Vesicle;Vesicles;CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;0;Binding;12040031
CASKIN;Q8WXD9;Q8VHK1;Vesicle;Vesicles;CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;0;Binding;12040031
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;TBR1;Q16650;Q64336;TF;Nucleus;+;Binding;10749215
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;PMCA;P20020;Q9R0K7;Pump;Membrane;+;Binding;12511555
SHIP2;Q06124;P29351;Phosphatase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;7523381
PDGFR;P09619;P05622;Receptor;Membrane;SHIP2;Q06124;P29351;Phosphatase;Cytosol;+;Binding;8226787
PDGFR;P09619;P05622;Receptor;Membrane;SHIP2;Q06124;P29351;Phosphatase;Cytosol;+;Binding;7688466
PDGFR;P09619;P05622;Receptor;Membrane;APS;O14492;Q9JID9;Adapter;Cytosol;+;Binding;9989826
PDGFR;P09619;P05622;Receptor;Membrane;NHERF;O14745;P70441;Adapter;Cytosol;0;Binding;11882663
BETA2AR;P07550;P18762;Receptor;Membrane;NHERF;O14745;P70441;Adapter;Cytosol;0;Binding;11882663
RACK;P25388;P25388;Adapter;Cytosol;PKC;P17252;P05697;Kinase;Cytosol;0;Binding;11956211
RACK;P25388;P25388;Adapter;Cytosol;PKC;P17252;P05697;Kinase;Cytosol;0;Binding;1831196
RACK;P25388;P25388;Adapter;Cytosol;PKC;P17252;P05697;Kinase;Cytosol;0;Binding;7831317
RACK;P25388;P25388;Adapter;Cytosol;NHERF;O14745;P70441;Adapter;Cytosol;0;Binding;11956211
SHIP2;Q06124;P29351;Phosphatase;Cytosol;GAB1;Q13480;Q9QYY0;Adapter;Cytosol;_;Dephosphorylation;14701753
SHIP2;Q06124;P29351;Phosphatase;Cytosol;SPROUTY;O43609;Q9QXV9;Adapter;Cytosol;_;Dephosphorylation;15031289
GRB2;P62993;Q60631;Adapter;Cytosol;SPROUTY;O43609;Q9QXV9;Adapter;Cytosol;0;Binding;15031289
SHIP2;Q06124;P29351;Phosphatase;Cytosol;PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;_;Dephosphorylation;14665621
GAB1;Q13480;Q9QYY0;Adapter;Cytosol;PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;0;Binding;14665621
CSK;P41240;P00520;Kinase;Cytosol;PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;+;Phosphorylation;9890993
CSK;P41240;P00520;Kinase;Cytosol;FAK;Q05397;Q60750;Kinase;Cytosol;+;Phosphorylation;9890993
CSK;P41240;P00520;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;_;Binding;14665621
CSK;P41240;P00520;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;_;Binding;1383688
SHIP2;Q06124;P29351;Phosphatase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;7522233
SHIP2;Q06124;P29351;Phosphatase;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;7522233
DENSIN;Q15003;Q9JI18;Adapter;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;0;Binding;11160423
DENSIN;Q15003;Q9JI18;Adapter;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;0;Binding;10827168
NMDAR;Q12879;P35436;Receptor;Membrane;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;0;Binding;12379661
CALMODULIN;P62158;P62204;Activator;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Binding;12379661
NMDAR;Q12879;P35436;Receptor;Membrane;ALPHAACTININ;Q08043;O88990;Cytoskeleton;Cytosol;0;Binding;12379661
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeleton;Cytosol;0;Binding;11160423
DENSIN;Q15003;Q9JI18;Adapter;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeleton;Cytosol;0;Binding;11160423
A2AR;P29274;Q60613;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;8995267
A2AR;P29274;Q60613;Receptor;Membrane;GALPHAS;P04895;P04894;Gprotein;Cytosol;+;Binding;6162091
A2AR;P29274;Q60613;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8995267
VAV;P15498;P27870;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;9822605
VAV;P15498;P27870;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;9032261
VAV;P15498;P27870;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;8994827
VAV;P15498;P27870;GEF;Cytosol;CDC42;P60953;P60766;GTPase;Cytosol;+;GEF;8994827
VAV;P15498;P27870;GEF;Cytosol;CDC42;P60953;P60766;GTPase;Cytosol;+;GEF;9032261
RHOGEF;Q92888;Q8R4H2;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;8810315
GALPHA12;Q03113;P27601;Gprotein;Cytosol;RHOGEF;Q92888;Q8R4H2;GEF;Cytosol;+;Binding;9641916
GALPHA13;Q14344;P27601;Gprotein;Cytosol;RHOGEF;Q92888;Q8R4H2;GEF;Cytosol;+;Binding;9641916
ARNO;Q99418;P97695;GEF;Cytosol;ARF;P32889;P32889;GTPase;Vesicles;+;GEF;8945478
EFA6;Q9NYI0;O08967;GEF;Cytosol;ARF;P32889;P32889;GTPase;Vesicles;+;GEF;11342560
BDNF;P23560;P21237;Ligand;Extracellular;TRKB;Q16620;Q9Z139;Receptor;Membrane;+;Binding;1645620
RAP1;P10113;P10113;GTPase;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;9094716
RAS;P01111;P08556;GTPase;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;7935411
PKA;P17612;P05132;Kinase;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Phosphorylation;10931830
D1R;P21728;Q61616;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1832710
M1R;P11229;P12657;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8196770
RAP1;P10113;P10113;GTPase;Cytosol;RALGDS;Q12967;Q03385;GEF;Cytosol;+;Binding;8636102
PKC;P17252;P05697;Kinase;Cytosol;PLA2;Q9Y263;Q9Z0Y2;Phospholipase;Cytosol;+;Phosphorylation;12423237
MAPK;P28482;P27703;Kinase;Cytosol;PLA2;Q9Y263;Q9Z0Y2;Phospholipase;Cytosol;+;Phosphorylation;8381049
P38;Q16539;P47811;Kinase;Cytosol;PLA2;Q9Y263;Q9Z0Y2;Phospholipase;Cytosol;+;Phosphorylation;8910365
RHO;Q07960;Q8C0D4;GTPase;Cytosol;CITRON;O14578;Q02566;Kinase;Cytosol;+;Binding;9697773
PKG;Q13237;Q9Z0Z0;Kinase;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;+;Phosphorylation;7532810
STARGAZIN;Q9BXT1;Q9BXT1;Chaperone;Cytosol;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;12359873
AMPAR;P42261;P23818;Channel;Membrane;STARGAZIN;Q9BXT1;Q9BXT1;Chaperone;Cytosol;0;Binding;11140673
L1;P32004;P11627;CellAdhesion;Membrane;ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;0;Binding;7961622
L1;P32004;P11627;CellAdhesion;Membrane;ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;0;Binding;12070130
NRCAM;Q92823;Q810U4;CellAdhesion;Membrane;ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;0;Binding;7961622
FAK;Q05397;Q60750;Kinase;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;_;Phosphorylation;11369769
BR1R;P46663;Q61125;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1645526
PYK2;Q14289;Q60629;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;8849729
BR1R;P46663;Q61125;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;11713280
BR1R;P46663;Q61125;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;11713280
BR1R;P46663;Q61125;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;11713280
BR1R;P46663;Q61125;Receptor;Membrane;GALPHA11;P29992;P21279;Gprotein;Cytosol;+;Binding;11379050
BR1R;P46663;Q61125;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;11379050
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;7828890
RASGRF;Q13972;P27671;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;10220378
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;RASGRF;Q13972;P27671;GEF;Cytosol;+;Phosphorylation;9281359
CALMODULIN;P62158;P62204;Activator;Cytosol;IP3R;Q14643;P11881;Channel;ER;_;Binding;10456332
RASGRP;Q8IV61;Q91ZC8;GAP;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;9582122
PKC;P17252;P05697;Kinase;Cytosol;RASGRP;Q8IV61;Q91ZC8;GAP;Cytosol;+;Phosphorylation;15213298
NMDAR;Q12879;P35436;Receptor;Membrane;RASGRF;Q13972;P27671;GEF;Cytosol;0;Binding;14622581
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;9430727
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;11560935
MKP5;Q9Y6W6;Q9ESS0;Phosphatase;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;_;Dephosphorylation;11790549
MKP5;Q9Y6W6;Q9ESS0;Phosphatase;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;_;Dephosphorylation;11790549
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;9379834
CAPRI;O43374;Q91ZC8;GAP;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;11448776
CAPRI;O43374;Q91ZC8;GAP;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;12845332
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;9032266
RASGRF;Q13972;P27671;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;1379346
RASGRF;Q13972;P27671;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;10544264
CALMODULIN;P62158;P62204;Activator;Cytosol;RASGRF;Q13972;P27671;GEF;Cytosol;+;Binding;7637786
CALMODULIN;P62158;P62204;Activator;Cytosol;RASGRF;Q13972;P27671;GEF;Cytosol;+;Binding;8756648
EPAC;O95398;Q8VCC8;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;+;GEF;9853756
CALMODULIN;P62158;P62204;Activator;Cytosol;RIN1;Q13671;Q921Q7;Activator;Cytosol;+;Binding;8824319
RIN1;Q13671;Q921Q7;Activator;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;Binding;12574403
P1433;Q04917;P11576;Adapter;Cytosol;RIN1;Q13671;Q921Q7;Activator;Cytosol;_;Binding;11784866
RIN1;Q13671;Q921Q7;Activator;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;Binding;11784866
PKD;Q15139;Q62101;Kinase;Cytosol;P1433;Q04917;P11576;Adapter;Cytosol;+;Phosphorylation;11784866
PKA;P17612;P05132;Kinase;Cytosol;GLYR;P23415;Q61603;Receptor;Membrane;+;Phosphorylation;8294452
PKC;P17252;P05697;Kinase;Cytosol;GLYR;P23415;Q61603;Receptor;Membrane;_;Phosphorylation;8294452
SRC;P12931;P05480;Kinase;Cytosol;GLYR;P23415;Q61603;Receptor;Membrane;+;Phosphorylation;11882681
SRC;P12931;P05480;Kinase;Cytosol;GABAAR;P14867;P18504;Receptor;Membrane;+;Phosphorylation;7566089
BID;P55957;P70444;Bcl2Family;Cytosol;BAX;Q07812;Q07813;Bcl2Family;Mitochondria;+;Binding;8918887
TRKB;Q16620;Q9Z139;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;+;Binding;8808684
EGFR;P00533;Q01279;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;+;Binding;8808684
