Entry	Cross-reference (RefSeq)
J3KP97	
A4QMW8	
Q99815	
G3V353	
Q6RKY0	
A8K7K0	
B2R6H7	
B3KM53	
B4DEY7	
B4DEE8	NP_002403.2;
B7ZKP0	
B7Z814	
B8ZZZ0	
C9JFF1	
C9JWP2	
B7Z7Z5	
D6RBW1	XP_006714189.1;
C9J5W6	
C9JFF0	
A0A096LNW7	
A0A087X1S9	
E2QRP2	
E9PH21	
Q59HG1	NP_036442.3;
Q6NWR6	
Q9UQR7	
A4FUA5	NP_001273710.1;
Q0VD65	
Q6IFL7	
Q4VAI4	
Q8IXH9	
B2R8H6	NP_005281.1;
B2R9V7	
B3KSR8	
B3KP78	NP_062818.1;
E5RGK4	
C9JL75	XP_005257922.1;
E9PLF5	
J3KTK7	
F6T327	
F6XJ20	
F8VSE4	
A6PVN7	
F8WCQ9	
F8WEV8	
F8WAB6	
F8WD18	
Q5T0R2	
Q5TCT4	
B7ZBK4	
C9JDP4	
F8WBC2	
H0YJM3	
H3BR03	
H3BPI4	
H3BMN4	
H0YCA1	
H9ST19	
I3L0V3	
H9RXW3	
H7C382	
I6QS32	
K7ELW7	
I3L391	
K7EMQ9	
A0A059QIJ6	
A0A059RQU9	
A0A059QMS7	
A0A075B774	
A0A075QB04	
A0A087WV96	
A0A087WVG3	
A0A087WWN7	
A0A087WTL4	
A0A087WVW5	
A0A087X0P8	
A0A087X299	
A0A087X1L5	
A0A087WVF5	
A0A087X020	
B4DWG5	
A0A087X1F8	
A0A087X258	
A0A087WYK1	
C9JFM5	
A0A087WW71	
A0A087WZP2	
A0A087WYQ7	
A0A087X0G9	
E5RHZ6	
A0A087X0N2	
D2Y669	
E5RHJ5	
D6RGI7	
A0A087WYK0	
C9JPK5	
E7EPU2	
C9J8F6	
E5RID2	
F8W0Q0	
Q5T0V2	
F8W6G6	
H0Y9S4	
G3V3A5	
G5D8K6	
H0YE76	
Q5T0V4	
H7BZ76	
H6VQ59	
H7C2Z6	
I3L1Y2	
H3BQ23	
H9LMC2	
H3BNT8	
H7C5R4	
J3QRF6	
R4GMM0	
H3BPF7	
M0R2A0	
X5BZF1	
X5D7P3	
H0Y3H0	
H0Y5U0	
H0Y9M0	
H0YBL6	
H0YCP8	
G9LAW4	
E9PN16	
H0YB93	
H3BSC9	
H7C0M2	
H7C3B6	
H0YNL0	
H3BMV0	
H3BVD4	
H0YKH3	
H7C1F5	
J3QRM9	
K7EMX3	
K7ERQ7	
K7ERL8	
H7C5H5	
H9RKS9	
M0QXA1	
M0R0S1	
E7EQY4	
E7ENR6	XP_006714353.1;
E9PMG2	
E9PGW3	
A6PVY5	
F8WF78	
F6S9Y6	
F8WAQ1	NP_001269572.1;
J3KQ26	NP_001275696.1;
F8WFD5	
H0YD23	
G3V3C9	
H0YDF5	
H0YF69	
H0YL93	
H0YMV8	
H0YDC2	
K7EMP2	
K7EQN3	
K7EL23	
Q4VXT8	
K7ER30	
M0QZZ7	
M0R2S7	
M0R3B2	
R4GN97	
X5BLJ8	
X5D9M6	
X5D7A8	
A0A024R2C0	
A0A024R9H2	
A0A024RA40	
A0A024RD67	
A0A024RA01	
A0A024RAZ1	
A0A024RD84	
A0A024R562	
A0A024R344	
A0A096LNU6	
Q7Z3R1	
A0A096LPG3	
A0A5A2	
Q9BVU5	
Q2VPB9	
Q50KS4	
Q5JC44	
Q45VJ3	
Q6NSD0	
Q6ZNJ4	
A3KMG6	
A8MQ10	
B3KRU6	
B4DKW1	
B7Z5K2	
B4DVX2	
T2HMZ1	
U3KQP6	
U3KQT0	
Q6ZNB1	
Q9BV39	
Q8NF33	
B7ZLR3	
A0A024R219	
A0A059RYF8	
A0A059RHP1	
A0A059RYF2	
A0A059WRJ1	
A0A059RRM2	
A0A067ZUK7	
A0A059RQ72	
A0A059QR71	
A0A075B6J2	
A0A075X6S7	
A0A075B6N8	
A0A024R980	
A0A023VRX5	
A0A024QZE3	
A0A059QPW5	
A0A059RH59	
A0A059RPP8	
A0A087WYG2	
A0A087WVB7	
A0A087WYL1	
A0A087WYY4	
A0A087X068	
A0A087X0S4	
A0A087WZQ2	
A0A096LPI0	
A0A059RXE4	
A0A096LP28	
Q4JME1	
A0A087WVV1	
A0A087WYD2	
A0A087WY56	
Q59EU1	
Q6MZZ1	NP_001253974.1;
A0A087WX60	
Q9Y4A3	
A6NEP8	
B1PL87	
B2RCN5	
B3KV24	
E5RGY6	
H7BZU8	
H7C4T4	
I3L1K9	
I7HJS6	
I0EZ57	
L8E758	
K7EJB8	
M0QZF6	
M0R129	
A0A059RMS5	
A0A060VCZ1	
A0A068BNY9	
A0A075B7D2	
A0A075X6T1	
A0A075B6L6	
A0A087WUJ2	
A0A087WU07	
A0A087WYF3	
A0A087WVW6	
A0A087X177	
A0A087WYI5	
A0A087WZF4	
A0A087WZA8	
A0A087X1X9	
A0A087WXY6	
A0A087X0C1	
Q8NHD6	
Q68D60	NP_919047.2;
Q6RM70	
Q59EN9	
A0A096LPH0	
A0A087WWQ1	
B4DIQ9	
Q6QWC1	
B5MEC4	
B7Z2J1	
C9J2E1	
J3KNP8	NP_001273328.1;XP_005267695.1;XP_006725222.1;
C9IYL1	
B9A019	
D1CS43	
C9JCI8	
D6RHD1	
C9J6X6	
H7BXX0	
D6R9W3	
C9JTF8	
C9J6L5	
B7Z3F1	
E9PRU1	
E9PCW0	
E9LR91	
E9PII5	
F5GXM0	
E9LR75	
A0A024R722	
E5RJ92	
A0A024R4I7	
A0A059RG71	
A0A075B6L2	
A0A075B6R3	
A0A087WTE3	
A0A087WV86	
A0A087WUG3	
A0A087WWT4	
A0A096LP52	
A0A087WWE6	
A0A087WWZ6	
O43641	
Q6ZNK2	
A0A087WUQ6	
O43873	
A6ZHE2	
B3KVN8	
Q8WXJ4	
B3KSS6	
B4E1Z1	
B5MC86	
B5M7X0	
B4DVP7	
C9JS27	
C9IYJ1	
B4DVA0	
C9JX16	
B4DIH3	
H9KV77	XP_005258057.1;
E5RI00	
C9JYS6	
H7BYV1	
H7C4F2	
F8WCI0	
H7C0P7	
H7BZQ7	
F8VRN5	
G3XA86	
F8VRL7	
G8FSY7	
H0Y9C6	
H0YI67	
H0YCJ9	
H0YLP5	
Q5T5E6	
H3BPQ7	
H7C134	
H3BQA8	
Q5T1W1	
A0A059QGK2	
H0YEK4	
A0A060VCP6	
I3L0L8	
H3BQ58	
I3L204	
A0A059QFN5	
A0A059RTG7	
A0A060VHE3	
A0A075XDP4	
A0A075EKM8	
A0A077CXZ9	
A0A087WT30	
A0A087WXV4	
A0A087X1C0	
A0A087X238	
A0A087X0G1	
A0A087WT66	
A0A087X2B2	
Q96IE3	
A0A087WW75	
A0A087WY36	
A0A096LPB4	
Q5SBK1	
Q6AI35	
A0A096LNM5	
Q7Z307	
Q96AD6	
Q86XS2	
Q96RF4	
Q32P50	
Q8TDB1	
Q68D70	
Q13707	
Q6R0V6	
Q05KQ8	
A6NP52	
Q8NGW3	
B2RUU2	NP_005493.2;
B7ZM10	
B8XY73	
C9IZN3	
C9JE25	
B4DMT4	
D6R980	
E9PGN6	
E9PI69	
E9PDU6	
E9PP76	
B0QY64	
E9PQW4	
F5H1S9	
F5GXJ1	
F8WBC3	
G3V2K7	
Q5H9B4	
G0ZCM4	
H0YAL5	
H0Y5L2	
H0YIN7	
G3V5M2	
H0YBL9	
H0YL02	
H0YLS5	
H0YCJ5	
H0YMB5	
J3QRP8	
K7EKC1	XP_005258748.1;
H0YES7	
J3QSC1	
K7ENY4	
B3KM32	
B3KSM4	
B9ZVR7	
B7Z7P4	NP_001278951.1;
C9J5A4	
C9JU94	
B3KNQ8	
C9K038	
C9JP59	
D1CS83	
B4DJ64	
E7ENI6	
E7EN20	
E9PII7	
E9PK60	
E9PQR3	
B1APY8	
H7C302	
F5GWC4	
F5H1M8	NP_001273711.1;
F6U0H7	
F8WAT3	
F6QYI9	
F8WEN6	
F8WD52	
Q5JXR6	
F8VYI3	
H3BPR4	
H3BSZ0	
H3BQ00	
H3BRA9	
H7C3F9	
H9SYF8	
I3L0J6	
K4DI96	XP_005256856.1;
K7ERJ5	
J3QQR1	
K4DI94	
H7C5B8	
A0A078BBI5	
K7EJ89	
A0A087WTV1	
A0A087WVG9	
A0A087WTE2	
A0A087WWC9	
A0A087X1A8	
A0A087WUG9	
A0A087WVX9	
A0A087WXY4	
A0A087WVM1	
A0A087WZ21	
M0R1K9	
A0A087WWG8	
Q50KD6	
Q59FV6	
A0A087WZZ3	
Q8NH33	
Q5UW39	
A6N930	
A8K3S1	
Q9H7Q8	
A7J1S3	
E5RFH5	
V9GYN9	
A0A024R9K4	
A0A024R5P6	
A0A024R804	
A0A024R6G4	
A0A059QSE5	
A0A059RIQ4	
A0A059QJU5	
A0A059RNB9	
A0A059RPI5	
A0A059RW30	
A0A059RUV9	
A0A059RR37	
A0A059QK12	
A0A059V6Y7	
A0A060D9N8	
A0A068BI47	
A0A059RYR9	
A0A068BFY4	
A0A075B771	
A0A087WUA9	
A0A087WV40	
A0A087WXS7	
A0A096LNH7	
A0A087WX00	
A0A087WWG5	
A0A087WZB3	
A0A087X1E5	
Q50KK5	
Q20BH0	
A0A087X249	
A0A087WVX4	
Q14298	
A0A5A8	
A0A087WWJ9	
A0A096LNH2	
Q59HC0	
Q59GQ7	
Q53T76	XP_005246527.1;
Q5GJ64	
A0A096LPA6	
A0A087X026	
B2XI26	
V9GY29	
B3KQ64	
B3KY85	
E9PCP8	
J3KN39	
C9JVY9	
C9JGM7	
E5RHL4	
D1CS84	
D6RDB0	
E9PD56	NP_001276029.1;
E9PGD8	
E9PPZ2	
F2Z2V3	
J3KSA7	
M9MML4	NP_001254727.1;
A0A088AWP6	
F5H5C8	
F6TR96	
F5H2S8	
Q5VVV3	
Q5VVW5	
A0A068PCV8	
A0A075B730	
A0A075B6F3	
A0A087WWE5	
A0A087WVD5	
A0A087X282	
A0A087X1Z6	
A0A096LNY7	
Q6LD06	
A0A087X1Z3	
A0A087WV01	
A0A087WZG4	
A0A087X037	
Q8NH84	
A0A087X2H2	
Q59H90	NP_001035802.1;
Q86Y85	NP_002228.2;
A6NJJ0	
Q7Z581	
Q9BS61	
B1WA27	
J3QSS1	XP_005256176.1;
B3KM45	
B4DWH2	
B4E378	
B4DZC0	
B7Z7M6	
B7ZA23	
C8YCN4	
C9J2L1	
D6R9U4	
D6RD46	
V9GYY8	
C9J2I5	
D6RIE8	
H3BTS8	
H7C2U7	
E7EMS2	
E7EQG5	XP_005250281.1;
E7EVM7	
E7EMG1	
E7EWH9	
E7EPV5	
E7EWC2	
E7EPS8	
F8WBF0	
F8WBF8	
E5RII5	
G3V5X4	
G4W3B8	
H0YDT6	
H0Y8P1	
H0YB55	
H0YJS9	
H3BRL5	
H7C495	
H7C579	
H3BNL2	
H0YLG0	
H7C558	
H9E7B4	
I3L505	
A0A059RID7	
A0A059RDW3	
A0A059RHB1	
A0A059QPB2	
A0A059QLA4	
A0A059T3A1	
A0A059RNV8	
A0A060VCX9	
A0A075B7F5	
A0A075B6S8	
A0A087WUJ7	
A0A087WYX3	
A0A087WZS1	
A0A087X0J1	
A0A087X0U8	
A0A087WW36	
A0A087WW58	
A0A087WUL8	
Q5Y190	
A0A096LP89	
A0A087X1M0	
A0A087WXG5	
A0A087WX93	
Q8NGU6	
A8JMK3	
Q8NCH4	
Q96HL7	
Q0Z7S0	
Q59H83	
B2R6F7	
Q96ID4	
B3KMH8	
B4DIX9	
B4DDR6	
B4DHT9	
B4E381	
B7ZLE5	
B8X669	
C9JTA8	
B7Z582	
C9JG19	
C9J715	
C9JQT4	
B4E1Y0	XP_005262619.1;
D1CS85	
C9JZI2	
D6RDH9	
H7BXG1	
E7ETA5	
D6RC01	
E5Q914	
E9PBZ2	
E9PLM6	
F2Z2N6	
E9PII3	XP_006715430.1;
E9PNM6	
H3BM88	
F5GYG7	
H7C118	
F8VQR7	
F8W8N5	
F6RTR7	NP_001269655.1;
Q5JYE8	
J3KPA5	
F8WEF6	
J3KSJ1	
H0Y430	
H0Y623	
H0YG12	
H7C2S2	
H7C4J9	
J3QKS7	
G8JLD5	XP_005253339.1;
K7EJ38	
K7EJ00	
K7EPT5	
K7EPP2	
M0QXE1	
M0QXS4	
M0QX61	
M0R3F8	
A8HT68	
A4D0Y1	
A8K5U9	
B4DYK6	NP_005266.2;
B4DYK1	
B4E3S1	
B4DER1	
B5ME96	XP_006726239.1;
B7Z927	NP_001273712.1;
C9J6P8	
C9J7M5	
C9K020	
E5RHY5	
D6RBR6	
D6RIV9	
H3BQI0	
H7BYQ5	
E5RIJ5	
E7ERY4	
E9PCB6	
E9PCQ7	
F2WG64	
H9KVD2	NP_001092874.1;
B1ANL0	
F8VZV6	
F8VPP1	
F8WC56	
F8WE88	XP_005254458.1;
G3V4B9	
G3MD40	
H0Y9L2	
H0YAC3	
H0YAG3	
H0YI04	
H0YC82	
H0YIZ7	
I3L4G6	
I3L124	
I7CAJ8	
I7JB59	
J3QRN6	
K4MWA3	
M0QYM2	
M0QYD4	
A0A059QFD5	
A0A059QP87	
A0A059RSL1	
A0A059QSC5	
A0A059RV41	
A0A087WSY6	
A0A087WUI4	
A0A087WTE1	
A0A087WW78	
A0A087WVZ0	
A0A087WWM1	
A0A087WWN6	
A0A087WXI5	
A0A087WXC5	
A0A087WTA5	
A0A087WYX0	
A0A087X082	
A0A096LP44	
A0A087WZT7	
A0A087WW97	
Q7KYY3	
E7ERV2	
Q8NC73	
E9PNL8	
E9PD91	
E9PGY2	
J3KR33	
F5GWT8	NP_001278208.1;
F8WFD0	
F8WCQ3	
J3KTM6	
Q5TCC4	
G3V4A2	
G8JLL2	
H0Y4V9	
H0YC05	
H0YFW5	
H0YGJ9	
H0YJI0	
H0YIK0	
H7C0Z1	
H3BQD0	
H2DLA2	
H7BYJ1	
H9NZE5	
I0CMK1	
I3L0M9	
I3L2M4	
M0QYA4	
M0QZZ9	
S4R3T6	
V9K571	
X6RBN4	
I3L263	
H9RV93	
I3NI05	
J3QQW0	
K7ES80	
K7EQG8	
L0B2U7	
L7XMU6	
M0QXI3	
M0QXT0	
M0R2E5	
R9Y4U8	
W8QGV4	
R4GMW7	
S4R2X6	
V9HW11	
A0A023I7R3	
A0A024R807	
A0A024RC82	
Q59EJ3	
H0YK25	
H0Y9T8	
H0YIZ0	
H3BQI3	
H7C0M7	
I3L3W7	
I3L3K2	
H0YDJ8	
H3BNQ4	
J3QLH3	
K7ERN6	
K7EKH7	
K7EN84	
K7EP47	
H7BZS8	
K9M5K3	
X5DR82	NP_001284370.1;
K7EP06	
A0A024QZE1	
A0A024RDZ2	
A0A024R2S9	
A0A024RC16	
A0A024RAM8	
A0A059QH25	
A0A059RSV5	
A0A068C170	
A0A068BCC2	
A0A059QQG1	
A0A059RSB1	
A0A087WX17	
A0A087WVX7	
A0A087X0P7	
A0A087X2C1	
A0A087WXZ8	
A0A087X144	
A7XSF7	
A0A096LP75	
A8MVM8	
A0MWC9	
A5PKX7	NP_001092882.1;NP_001092883.1;NP_006757.2;
A0A087WW55	
A0A087WZ65	
Q2YD84	NP_001707.1;NP_116743.1;
A6N6J7	
Q50KZ1	
B2RBC8	
Q562T8	
A8K477	
Q8NGU7	
B3KXW6	NP_588608.1;
Q96B39	
B4DS47	
B4E1T6	
B4E0V3	
B5MDN4	
D6RAX7	
C9JLE9	
B7Z4N3	
D6RCT7	
C9J2C7	
A0A024RBL8	
A0A024RA94	
A0A024R7H5	
A0A024R632	
A0A059RI90	
A0A060VCV0	
A0A059QP57	
A0A059QXN6	
A0A059RMD9	
A0A068BQ73	
A0A075B6J0	
A0A075B7A6	
A0A077DBJ4	
A0A076G425	
A0A077XNE3	
A0A075X709	
A0A087WT52	
A0A087WU14	
A0A087WUU0	
A0A087WVP8	
A0A087WYU6	
A0A087WZ26	
A0A087WZH7	
A0A087WUS8	
A0A087X063	
A0A087WYA9	
A0A087X1K9	
A0A087WUE5	
A0A087WZ30	
A0A087X028	
A0A087WZL9	
Q9P0H2	
A0A087X2F4	
A0A087X0W0	
A8MWX0	
A8K7X3	
Q4F4P7	
B2RU31	
B0AZP8	NP_001265130.1;
Q0Z7J4	
B2XHT5	
B2RDZ1	
B3KVU7	
B4DEH6	
B4DRV3	
B3KNW7	NP_001122317.1;NP_001122318.1;NP_001122319.1;NP_001122320.1;
B6VNT4	
B7WP89	
B7ZKP3	
C0JYZ2	
E5RFI6	
C9JLI6	
C9W8M7	NP_001192202.1;
D2ECG1	
C9JX95	
A0A059QKF3	
A0A059QAQ3	
A0A059QG34	
A0A068JD88	
A0A068B6T4	
A0A075B6S2	
A0A087WTB7	
A0A087WTH9	
A0A087X134	
A0A087WUC9	
A0A087X156	
A0A087X2I5	
A0A087WXN3	
Q6ZNK5	
A0A096LPB9	
A0A087WZC6	
A0A087WUW6	
A0A087WV91	
A0A087WX71	
A0A096LPK6	
Q75MP2	
Q8IWP3	
Q76L88	
Q15753	
Q562N8	
A0A087X1W2	
Q7Z6E5	
Q86U11	NP_001122390.1;NP_001122391.1;NP_001122392.1;NP_001122393.1;NP_002367.4;
Q7Z344	
A4D110	
A8K5T0	
E5RGY9	
D6RIA0	
E9PNC5	
E9PFI4	XP_005248260.1;
F1AZF2	
H7C1A9	
B1AMA2	
B0QY74	
F5GWL0	
F5H172	
A2A3S1	
F8WD83	
J3KT72	
F8W6H5	
J3KSR6	
Q5SR44	
F6V803	
Q5VWU8	
G3V2T9	
F5H1T4	NP_001276867.1;
F8VXK7	
F8WEM2	
M0QXP1	
M0R393	
R4GMQ9	
M0R1F2	
F8WCY8	
Q305N9	
Q14936	
Q6IFA1	
A4D2H9	
A4ZLF5	
Q8WW96	
A6NL68	
A8K3G7	
B2R6V6	
B3KRI1	
B4E1W9	
B7Z4C6	
B7Z6P1	
B7Z5U3	
B7ZBL7	
C9JFL5	
B4E1S9	
B4E1U3	
B5MCX4	
B7Z3L4	
C7SK95	
C9J995	
B4DMR3	
D6RIZ6	
E9PIH6	
E9PMD3	
H3BQH0	
B0QYB2	
E9PKT2	
F5H6G0	
F5H3Y3	
F4ZUT2	
E7EX54	
F5H875	
F8WEE6	XP_005257444.1;
F8W9W2	
F8W8V9	
H0Y4U4	
H0YI52	
H0YEP6	
H0YGB4	
H0YBZ5	
H7BZN7	
H3BMA8	
H3BPL2	
H7C605	
H9PWU4	
K7EJ59	
E7EVL8	
E7EWX8	XP_005247150.1;
E9PBM2	
E9PP30	
E9PBD5	
F2Z2X6	
F5H248	
F8WBM9	
F8VRH8	
F8WBN7	
D0EYG5	NP_001124397.1;NP_055405.3;
G3V2S9	
F8WA34	
D6RDF7	
F8WEC3	
E9PR22	
H7C2H8	
E7EW16	
Q5SSC6	
F8W735	
F8VVE3	
G3CA53	
F8W7S1	
J3KTF6	
G9BCY7	
F8VYL3	
H0YBF2	
H0YF29	
H3BQL3	
H3BNJ4	
H3BRD0	
Q5T851	
H0YM33	
H7BYG4	
I3L4G8	
M0R161	
S4R3Q4	
A0A024R8R6	
A0A024R9E4	
G9LI10	
H0YDK5	
H0YKG2	
H0Y9D3	
H7C4F0	
H9PWJ0	
J3QLM0	
I4IY68	
J3QQU0	
K7EK95	
H3BMY6	
K7EJW3	
K7ENZ5	
K7EPD3	
K7EPH2	
J3QSC4	
K7EQA5	
K7EMX4	
I7CY13	
M0QYJ9	
M0R2N2	
U3KQS1	
G9BCZ0	
H0Y7W6	
H0YAF7	
H0YLL6	
H7C3S2	
H7C5J4	
H0YAC1	
H9RQ96	
H3BT95	
H9P003	
I3L4J3	
K7EIF8	
K7ERQ5	
M0QZM5	
J7GIV3	
S4R311	
S4R3B4	
U3KQE9	
V9HWD3	NP_056516.2;
A0A023Q5S8	
A0A024R688	
M0R0U2	
M0R1F9	
S5TLS4	NP_001153698.1;NP_001153730.1;NP_001153731.1;NP_057167.2;XP_005248707.1;XP_006715393.1;
A0A023QC18	
A0A024QYW6	
A0A024R5X4	
A0A024R9K5	
A0A024R885	
A0A024QZX7	
A0A024RB29	
A0A023I7N7	
A0A059RP14	
A0A059R879	
A0A059QVJ8	
A0A059QQE9	
A0A059RX67	
A0A059RTF2	
W0K8R4	
A0A024RD91	
A0A059V7J1	
A0A059RH27	
C9JJ23	
V9HWF9	NP_006076.4;XP_005273057.1;
C9IZ76	
D6BZ89	
D6RE86	
D6RC96	
E5RIP5	
E7BJ57	
E9PPR8	
F5GZK2	
F5H020	
F8VP90	
F8VZI8	
F5H107	
F5H6V0	
E9PS12	
F8WEC6	
J3KTH6	
Q5SWA0	
D6RGF4	
H0YA63	
F8WE50	
G9LD31	
H0YD37	
Q5T6K5	
H0Y5V0	
H0YAY5	
H7BZN1	
H3BV90	
H7BYF8	
H0YKZ5	
H7C3X9	
I3L485	
H0YGV3	
H7BZV8	
A0A088AWL5	
J3KT57	
J3QRN4	
K7EP93	
K7ESC6	
K7ES01	
K7EKK2	
J3QLI4	
R4GNA8	
S4R3R6	
U3KQA9	
G3V4Y2	
G9IF12	
H0Y368	
H0Y9X9	
H0YCX5	
H0Y6Y6	
H3BSE2	
H3BT77	
H7C2Q3	
H9XFB7	
H9RDX0	
M0R0C8	
M0R124	
S5LME3	
A0A024QZM0	
A0A024QZY2	
A0A024R4F6	
A0A024R4X7	
L0ERL2	
M0R0K5	
R4GN04	
S4R434	NP_001186620.1;
X5DQR1	
W6MEN2	
X2G756	
V9M6Y9	
A0A024R4S4	
A0A024RCN6	
A0A024R5X7	
A0A059RFD7	
A0A059RQT0	
A0A060AJM7	
A0A067XKV3	
A0A068BFV4	
A0A068BDT9	
A0A075B6T0	
A0A077B7N4	
A0A087WTG3	
A0A087WY76	
A0A087WZN0	
A0A087X002	
A0A087WWE2	
A0A087WUM7	
A0A087X2A2	
A0A087WUD3	
A0A087X296	
A0A087X293	
A0A087WVT9	
U3KQV3	
A0A024R096	
A0A024R6T3	
A0A059RIM9	
A0A060VD11	
A0A059QQP1	
A0A060VCX0	
A0A068C695	
A0A075M456	
A0A076V826	
A0A087WV50	
A0A087WT21	
A0A087WXV9	
A0A087X247	
A0A087WZZ6	
M0R097	
M0R079	
M9V000	
A0A024R1H4	
A0A024R976	
A0A059RGQ1	
A0A059QQG5	
A0A067ZWP7	
A0A059QQR5	
A0A059RKW4	
A0A059RNW3	
A0A067ZUL9	
A0A075B6T8	
A0A087WSZ9	
A0A087WTA9	
A0A087WVA3	
A0A087WZ59	
A0A087WXB2	
A0A087WWT2	
A0A087X102	
A0A096LNZ3	
A0A087WTI6	
A0A087WYN8	
Q53HN0	
A0A096LNP5	
Q53G76	
E5RIA2	
A0A087WUD2	
Q96DH9	
A1DT60	
A6NC16	
A6NJX6	
A6NFQ9	
J3KN11	
A2SX35	
B4DKZ4	
B4DJH4	
B4DND7	
B4DWZ0	
B4DVZ8	
B2XN13	
B4E2B4	
B4DUH7	
B4DYM1	
B3KY78	NP_001278932.1;
B3KVS7	
B7Z3X0	NP_001278959.1;
B3KSH0	
B4DFR8	
B7Z466	
C9JHG1	
C9JHJ4	
C9J5W8	NP_001277139.1;
H7BY16	
B4DWU3	
D6R9V6	
D1CS98	
H3BME4	
E7EPG2	
E7EQY1	
E9PQA3	
E9KL30	NP_002790.1;
F2Z3Q2	
E9PS05	
E9PHT4	NP_001138432.1;
A0A059SEP4	
A0A059QET0	
A0A059QQ67	
Q9UML7	
Q6L9N7	
Q6IFI9	
Q562W6	
Q6NT72	
A8K358	
Q7KYZ9	
A6ZDE8	
Q6ICP0	
B2RUT4	
B3KMT6	
B3KUD3	
B3KQ04	
B4DKC9	
B4DW50	NP_001276085.1;
B7Z1L5	
B4DWA7	
B9EIN3	
B7Z2D6	
B4DX37	
D6RGC2	
C9JEX3	
B4DSI8	
E9PEJ1	XP_006713533.1;
J3KPT4	XP_006724485.1;XP_006724486.1;XP_006724487.1;XP_006724488.1;
B0QY01	
E5RJC9	
F5H0E8	
F5H2G4	
F8W1G0	
O43626	
F8VYZ1	
Q56A76	NP_003061.3;NP_620614.2;
J3KQ48	XP_005257504.2;
Q96EG4	
Q6P0M4	NP_002152.2;
Q8N4A5	
A8MXU7	
B4DS72	
B4E1Q1	
B5MCM2	
B7Z855	NP_001273387.1;
B7Z865	
B9A049	
A0A087WTS8	
A0A087WV07	
A0A087WUM8	
A0A087WUU1	
A0A087X1R0	
A0A087X2F9	
A0A087WXX9	
Q5SA37	
Q96MZ1	NP_001268661.1;NP_001268662.1;
Q8NH96	
Q8NGQ7	
Q9UQ60	
Q53S20	
Q562R6	
B2RB75	
Q9Y3S8	
Q562S7	
Q96SM7	
B5MCU1	
B7Z1J8	
B7ZKS3	
B7Z1Y6	
B9EIM0	
C9JC48	
B4DR44	
C9JZA2	
C1K3N3	
C9JPT9	
C9JQ78	
B4DSD1	NP_005285.1;
D6R9U6	
C9JJP8	
E7ES33	
D6RBX9	
F2Z2T4	
F8WCT3	
F8W9W0	XP_005265710.1;
Q5VZW3	
H0YLC3	
H0YG22	
H0YMD3	
G3V3Z3	
H0YN23	
H3BUA8	
H7BZW6	
H0YJ44	
H3BUN3	
H7C5K2	
H0YMJ4	
H9BDU9	
H7C089	
H3BLW9	
J3QRQ5	
J3QRI8	
A0A059RR40	
A0A060VCU4	
A0A059QGV3	
A0A059QCT2	
A0A067ZXH2	
A0A059RS86	
A0A059QLT7	
B4DNX5	
B4DW52	
B4DNH1	
B4E1Z6	
C9JZ37	
C9J268	
D0E2W4	NP_071431.2;
D3DR65	NP_001094096.1;NP_006450.2;XP_005269499.1;
C9JPQ4	
D0UTU3	
J3KRF8	
E5RK21	
J3KS46	
E9PMM4	
E7EV89	
F5GY70	
E9PQK8	
F5GZ36	
F5H4Q0	
F5H6V7	
E9PNI7	XP_005251138.1;
E9PD61	XP_005261000.1;
F8WES3	
F6TGH8	
G3V4G2	
G5E948	
F6R503	
H0YIA0	
H0YJ72	
H0YDV1	
H0YMV4	
H0Y804	
H0YK26	
H0YJQ8	
H3BSD9	
I3L266	
H9PRF9	
K7EQD1	
K7ELW2	
R4GN94	
R4IAM6	
U3KQ29	
U3KQC2	
X5D2U3	
F8VZR8	
H0Y376	
H0YMJ1	
H0YD27	
H0YC59	
H3BQB9	
H3BN24	
H9E7H9	
H7C2R9	
H7C315	
I6U1P4	
I7GW26	
H3BMY4	
H3BVH4	
J3QSD4	
K7EJG9	
K7EJ65	
K7EQ01	
V5KA96	NP_149421.2;
X6R6T9	
C8YG56	
C9J6I7	
C9JCH3	
D6RE69	
D6RER2	NP_001278886.1;XP_006714499.1;
E9PPI0	
E5RJX3	
F5H2K9	
F8VT68	
F6WBC3	
F6UJY1	XP_005271296.1;
F8VTQ3	
F8WDF3	
E5RJ04	
F8VWU4	
F8VUJ3	NP_001186710.1;
F8VZ44	
F8WF65	
F5GYM8	
J3QRT6	
K7ERM6	
J3QQI8	
F8WDN7	
U3KQ52	
A0A023Q8F3	
A0A024R247	
A0A024R4U3	
A0A024RE22	
A0A077GZU2	
A0A087WTW4	
A0A087WUN1	
A0A087WVZ2	
A0A087WX62	
A0A087WYA4	
A0A087X2H0	
A0A087X2D8	
Q6UR99	
A0A087WV41	
K7EN52	
Q75LG9	
Q86V60	
A4D0Y4	
A6Z025	
A6NNI4	
A0A087WXK5	
U3KQ66	
A0A023I8F6	
A0A023I9A5	
A0A024QZI1	
A0A024R5H9	
A0A024RDM5	
A0A024R8L7	
A0A059QJE1	
A0A059QM62	
A0A059RTB1	
A0A024R9G8	
A0A024R2T8	
A0A059QPE9	
A0A059QM57	
A0A059QQF3	
A0A061DEB5	
A0A060ICG4	
A0A059RHM0	
A0A075B783	
A0A087WYI0	
A0A087WYS4	
A0A075B794	
A0A087WU39	
A0A096LPJ4	
A0A096LNI7	
A0A087WVC1	
A0A096LNQ0	
A0A087WX21	
