INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
E2F3_alone	POSITIVE_INFLUENCE	TYMS	10733529;15574595
AFP	CATALYSIS	Cytochrome_C*	11864614;12522243;14622304;15087373;17377525;18439902
NDUFA6	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFA3	N/A
MCM3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ORC5*	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
NDUFA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFA7	N/A
a2b1*_a3b1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	COL4A1	10809728;12297042;16195317;19161977;2153105;22118458;2786007;7522194;7639691
E2F1_alone	POSITIVE_INFLUENCE	RBL1	10766737;16135806
AMER1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	LRP5_6*	11226259;11448771;12050670;14704854;14747478;15265686;15618519;16443747;16547521;16965538;17127310;17143292;17426148;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19056682;19072724;19366350;19561074;19565474;19581931;19705439;19718039;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;20940130;210606194;21087212;21285348;21304492;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;23022962;52226983;7641885;8655584
CDC7	CATALYSIS	RPA1	15279786;17018296;17102137;17116885;17296725;17303408;17582221;17660363;18590585;19793801;7575488
MRE11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MDC1	11850621;11877377;12607003;15279786;15459660;15964794;16163361;16531125;17303408;17660363;18006705;18087292;18583988;18584027;18590585;18678890;18809224;19772495;19793801;20723763;21376743;22743550;23847781;24050180;7575488;9407949;9488723
CDC7	CATALYSIS	RPA2	15279786;17018296;17102137;17116885;17296725;17303408;17582221;17660363;18590585;19793801;7575488
DYNC2H1	PHYSICAL_STIMULATION	IFT140	18559511;19996169;20360384;21209331;21602792
BAF53A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BAF180*	17666529;21358755;22290435;22761862
HDAC1_2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RBBP4_7*	15576399;17666529;19923891;20682799;21734722;22290435;22761862
CK1_epsilon_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO1-4*	14704854;14747478;15265686;16443747;17127310;17143292;17430994;17884187;19020754;19029934;19072724;21640127;21727895;21829496;21909076;22007144;22017973;22433869;7641885;8655584
CDC7	CATALYSIS	RPA3	15279786;17018296;17102137;17116885;17296725;17303408;17582221;17660363;18590585;19793801;7575488
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5S	11410595;11744738;12110673;14701807;14757859;18953340
MT-ATP6	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5D	11410595;11744738;12110673;14701807;14757859;18953340
MyosinII*	UNKNOWN_TRANSITION	MYH7	N/A
JUN	CATALYSIS	ERK*	11274345;12738796;17439715;18039929;20506250;8545107
CDK4	CATALYSIS	SIN3B	10385618;10498883;12006580;9736735
DAB2	INHIBITION	LRP5_6*	15518237;17318175;19561074;19581931;20460648;21304492;21498506
MT-ATP8	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5D	11410595;11744738;12110673;14701807;14757859;18953340
RAC1	PHYSICAL_STIMULATION	ARFIP2	11152757;12480336;16212495;9312003
BIRC5	CATALYSIS	APC4*	12925766;14767480;15249581;16571674;17956729
G_alpha__sub_13q_endsub_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PLC-_beta_*	11395409;16054198;19359428
APC12*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC5*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
Pontin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Actin*	17320397
ATP5D	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ATP5J2	11744738;12110673
MMP3	PHYSICAL_STIMULATION	RAC1	16001073;21667018
PPP3R*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;UNKNOWN_CATALYSIS	RCAN*	16131541;19136967
RBX1	CATALYSIS	BimEL*	18420585
ASH2L	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RPB2*	17168535
PPP3R*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSE1L	11030334;11274345;11402342;14627704;17593948;17662023;21709260;21983832
SART1	CATALYSIS	HIF1A	18838541
DKK1	CATALYSIS	WNT*	11448771;17804805;22807036
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CUL1	10023660;12820959;14536078;15071497;15147722;15340381;15489953;15688063;16039586;16371461;16611981;16651270;17053147;17143292;18636226;18787170;18813803;19143635;19352404;19366350;19576224;19597341;19619488;19797085;19849719;20006983;20558317;20832730;20843316;20976471;21411632;22682247;22730322;23343194;7641885
FAAP100*	PHYSICAL_STIMULATION	FANCD2	12535671;12972610;14988723;15136767;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
INCENP	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BIRC5	12925766;14767480;15249581;16571674;17956729
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5O	11410595;11744738;12110673;14701807;14757859;18953340
EGF family*	CATALYSIS	FAK1*	10545505;16919435;17496910;19339212;7529872;7657702
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5L	11410595;11744738;12110673;14701807;14757859;18953340
MDC1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	RNF8	12607003;15279786;15459660;17303408;17660363;18001824;18001825;18006705;18583988;18590585;18678709;18678890;19772495;7575488;9407949
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPG*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
LIG4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XLF*	12471202;15703371;16439205;16697054;17088286;18077224;19346677;19473888;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5H	11410595;11744738;12110673;14701807;14757859;18953340
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5I	11410595;11744738;12110673;14701807;14757859;18953340
NOXA1	STATE_TRANSITION	NOXA*	N/A
BCL9	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CBP*	11274345;11973335;15337521;16039586;16510874;17143292;17439715;17565603;19619488;19623618;20006983;20530697;20920541;21285352;22020335;23296977;23343194;8545107
APC11*	TRIGGER	SMC3	15279786;17303408;17660363;18590585;7575488
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5J	11410595;11744738;12110673;14701807;14757859;18953340
APC12*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC4*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5D	11410595;11744738;12110673;14701807;14757859;18953340
ATP5C1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5E	11410595;11744738;12110673;14701807;14757859;18953340
RAD1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;TRIGGER	TIM1*	10884395;11877377;11900249;12648680;12766152;14726013;15459660;15703371;15798197;16530042;16697054;16880517;16885023;16934469;17102137;17116885;17296725;17303408;17384638;17493829;17582221;17884153;18677104;19282663;19622404;19793801;19809470;19847258;20478261;8943031;9524127
DYNC2H1	PHYSICAL_STIMULATION	IFT122	18559511;19996169;20360384;21209331;21602792
MLH1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	MBD4	10545939;12417741;15703371;16612326;16697054;18157157;18406444;19847258;20478261
BCL6	KNOWN_TRANSITION_OMITTED	BCL6*	15509806;20673124
RFC*	INHIBITION	MCM7	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
E2F6	NEGATIVE_INFLUENCE	CBX5	12909625
MYC	CATALYSIS	PFKM	15199147
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC4*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
E2F4	UNKNOWN_TRANSITION	CBX5	12909625
APC11*	TRIGGER	STAG*	15279786;17303408;17660363;18590585;7575488
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC3*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
E2F4	POSITIVE_INFLUENCE	UXT	12909625
TSC2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FBW5*	12820959;15340381;15688063;16636147;17680028;18381890;19440234;20146692
MDC1	CATALYSIS	Ku80*	12607003;15279786;15459660;17303408;17660363;18001825;18006705;18583988;18590585;18678709;18678890;18809224;19772495;7575488;9407949
APC12*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC7*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
Rac1_GAPs*	UNKNOWN_TRANSITION	ARHGAP1	N/A
BCL9	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p300*	11274345;11929833;12711682;15060161;15327769;15576399;15768032;15806138;15834423;16007074;16039586;16169192;16510874;16547505;17050667;17143292;17291450;17306568;17439715;17666529;18347071;18627596;19619488;19623618;20006983;20107328;20122174;20530697;20920541;21151179;21285352;21416054;21767405;22290435;22705350;22761862;23306204;23343194;8545107
HDAC3	PHYSICAL_STIMULATION	p21CIP1*	12545156;15155580;17508028;17550342;22370643;22796940;9618481
ATRIP	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	CDC6	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
FIP200*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ATG13	18036779;19225151;19941614;20056399
Actin cytoskeletal*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ARP2_3*	12054568;12473693;14749719;15094799;15308668;15688067;15866889;16000375;16702231;18829532;9819392;9843499
p53*	CATALYSIS	LRDD	10973264;15073321
E2F4	POSITIVE_INFLUENCE	TRIM55	15782160
LEF_TCF*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HIPK2	14567915;15082531;15526030;15708980;16039586;17143292;17666529;18974774;19619488;19623618;20307497;21118996;21285352;22236966;22290435;22761862;23343194
_beta_TRCP*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN4*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
BRCA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	UIMC1	N/A
ITGA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TGFBR*	16039586;16099633;17143292;19029934;19171760;19619488;19734908;22007144;22203675;23343194
MT-ND4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB10	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB11	15526035;16200211;16218961;17344420;20025615;20816094
RBX1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	KLHL*	12820959;15340381;15688063;16547521;17312394;20006983
APC2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC11*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
ORC1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM3	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
PLK1	CATALYSIS	APC7*	18931676;19270156;19622404;19686080
RPA2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	TIPIN	11877377;11900249;12648680;12766152;12875843;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17884153;18677104;19282663;19622404;19793801;19809470;19847258
FANCC	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCE	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
active~NRF*	CATALYSIS	SURF1	15004004
FANCG	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCC	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18212739;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
FANCC	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCF	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
FANCC	CATALYSIS	FANCI	12535671;12972610;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
AP2_mu_*	PHYSICAL_STIMULATION	ROR2	18953287;19910923;20947020;21397842
ATP5G*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5D	11410595;11744738;12110673;14701807;14757859;18953340
BAD_binding partners*	UNKNOWN_TRANSITION	BCL2-XL*	N/A
PRKCA	UNKNOWN_CATALYSIS	PROTOR*	18851840;20027184;21474067
APC12*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC6*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
FANCM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCC	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
FANCC	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCL	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
LIG4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC4	11163244;12032095;12471202;15385968;15703371;16439205;16697054;17088286;17638872;18077224;19346677;19473888;19546231;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
RPTOR	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	14-3-3*	18439900
KCNIP3	INHIBITION	HRK	11331593;12217801
UQCRC1	CATALYSIS	Cytochrome_C*	N/A
promoter_region	CATALYSIS	TBX2	11001584;11493558;14555646;15087129;15140221;15520176;16054035;16396903;16406505;16413481;16571352;16880536;17000779;17845852;18497536;18698484;18813803;19049965;19190345;20107231;20143239;20712011;9216996;9609833
Desmocolin1 binding partners*	UNKNOWN_TRANSITION	Desmoglein2*	N/A
SYN4*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PRICKLE1	11226259;12839624;14704854;14747478;15265686;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;18497258;18606138;18851840;19020754;19379695;19565474;19853559;20006983;20093472;20215527;20457807;20579883;20930545;21087212;21316585;21380625;21397842;21640127;22017973;7641885;8655584
COX6C	CATALYSIS	Cytochrome_C*	16051147
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPD*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
RPA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCI	11877377;11900249;12648680;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18082604;18082605;18677104;18931676;19075014;19217432;19264559;19622404;19686080;19772495;19793801;19809470;19847258;20029420;20173781;20723763;21060331;21337561;22101340;22505525;22751496;23444773
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC6*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
RPA2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCI	11877377;11900249;12648680;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18082604;18082605;18677104;18931676;19075014;19217432;19264559;19622404;19686080;19772495;19793801;19809470;19847258;20029420;20173781;20723763;21060331;21337561;22101340;22505525;22751496;23444773
NOXA*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NOXO*	N/A
ZO2_3*	UNKNOWN_TRANSITION	ZO3*	N/A
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RBX1	10023660;12820959;14536078;15071497;15147722;15340381;15489953;15688063;16039586;16371461;16611981;16651270;17053147;17143292;18636226;18787170;18813803;19143635;19352404;19366350;19576224;19597341;19619488;19797085;19849719;20006983;20558317;20832730;20843316;20976471;21411632;22682247;22730322;23343194;7641885
RAD9*	INHIBITION	PRIM*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
LEF_TCF*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTBP*	11274345;12711682;15327769;15834423;16039586;16510874;16547505;17143292;17439715;17666529;18974774;19619488;19623618;19751731;19901072;20006983;20920541;21285352;22290435;22761862;23343194;8545107
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCI	11877377;11900249;12648680;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18082604;18082605;18677104;18931676;19075014;19217432;19264559;19622404;19686080;19772495;19793801;19809470;19847258;20029420;20173781;20723763;21060331;21337561;22101340;22505525;22751496;23444773
CBP*	CATALYSIS	BCL2	10454566;10753867;15337521;17565603;9829964
GCK	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PRKAC*	12931191
Ku80*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Artemis*	11955432;12471202;15703371;16439205;16697054;17088286;18077224;18558713;19346677;19473888;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
CDK2	CATALYSIS	SMAD3	10197981;12193595;15241418;16156666
AXIN*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
CDK3	CATALYSIS	DP1*	15838516
NDUFC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFB9	N/A
NDUFC2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFB9	N/A
Desmocolin1 binding partners*	UNKNOWN_TRANSITION	Desmoglein1*	N/A
DNA-PK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APLF	12471202;15703371;16439205;16697054;17088286;18077224;19346677;19473888;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
AXIN*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Actin cytoskeletal*	17143292;17588722;20006983
NFAT3*	CATALYSIS;STATE_TRANSITION	JUN	15657420
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC5*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
AURKB	CATALYSIS	APC8*	12925766;14767480;15249581;16571674;17956729
SOS*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MEK*	11274345;11777939;12040186;12479806;12738796;12782630;14585353;15547943;15574420;16227978;16488589;17178906;17496910;17613518;18039929;18855897;19289794;19541618;19565474;19568798;19615955;21102635;21614932
LONP1	CATALYSIS	COX6C	17418790
SYN4*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PAR6*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
Borealin*	CATALYSIS	APC7*	12925766;14767480;15249581;16571674;17956729
Calmodulin*	CATALYSIS	MEF2*	11796223;14741051;15036616;17593948;18235236;19136967;19608982;2550447
BIRC5	CATALYSIS	APC12*	12925766;14767480;15249581;16571674;17956729
E2F1_alone	POSITIVE_INFLUENCE	NPAT	12665581
UQCRC2	CATALYSIS	Cytochrome_C*	N/A
CDK4	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p27KIP1*	10385618;10498883
RhoB_GDIs*	UNKNOWN_TRANSITION	ARHGDIG	11368848;8939998
_beta_TRCP*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	USP15	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SYN4*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
CREB1	TRANSCRIPTION	MMP13	19815709
APC12*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC3*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
DP2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p130*	11157749;11959842;12006580;15769944;15838516
E2F4	POSITIVE_INFLUENCE	ZNF83	N/A
RBX1	CATALYSIS	CyclinE*	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
E2F4	NEGATIVE_INFLUENCE	TOPBP1	15195143
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPF*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
GSK3_beta_*	CATALYSIS	TSC1	16959574
GSK3_beta_*	CATALYSIS	TSC2	16959574
MRE11*	CATALYSIS	DNA-PK*	11850621;11877377;12607003;15279786;15459660;15703371;15964794;16163361;16531125;16697054;17303408;17660363;18006705;18087292;18583988;18584027;18590585;18678890;18809224;19346677;19473888;19772495;19793801;19808869;19847258;20691907;20723763;21175350;21300785;21376743;22743550;23847781;24050180;7575488;9407949;9488723
MIR21	INHIBITION	PTEN	14697198;17681183;18199536;19962668
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC8*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9469815;9790499
WRN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	LIG3	11900249;12202749;12648680;14726013;15385537;15703371;16449207;16697054;17116323;17884153;17965729;18398454;18524993;18558713;18584027;18809224;19490890;19809470;19847258;20056333;20064462;20211143;20691907;21376743;22657828;22743550;23082994;23161013;23253856;24036544;24050180
promoter_region	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	FOXO4	10217147;10783894;11094066;11313479;11994454;12391153;15509806;17646672;20673124
